Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
LOC_Os06g13650.3;LOC_Os06g13650.2;LOC_Os06g13650.1	LOC_Os06g13650.3;LOC_Os06g13650.2;LOC_Os06g13650.1	5;5;5	5;5;5	5;5;5	"LOC_Os06g13650.3 LOC_Os06g13650.3|13106.m01507|protein alpha-mannosidase 2, putative, expressed;LOC_Os06g13650.2 LOC_Os06g13650.2|13106.m01506|protein alpha-mannosidase 2, putative, expressed;LOC_Os06g13650.1 LOC_Os06g13650.1|13106.m01505|protein alpha-man"	3	5	5	5	4	4	3	5	3	5	4	4	3	5	3	5	4	4	3	5	3	5	5.2	5.2	5.2	133.09	1173	1173;1184;1184	0	14.084	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.2	4.2	3.6	5.2	2.9	5.2	503150000	80502000	84681000	84563000	107130000	48659000	97614000	67912000	78503000	79347000	62108000	64203000	51614000	2	2	2	4	2	1	13				2519	4265;4362;11143;12408;14163	True;True;True;True;True	4518;4621;11919;13268;15124	25571;25572;25573;25574;25575;26159;26160;26161;26162;26163;67447;67448;67449;75508;75509;75510;75511;75512;75513;86324;86325;86326;86327;86328	18947;19407;19408;19409;19410;19411;49933;56035;56036;64285;64286;64287;64288	18947;19408;49933;56036;64287		
LOC_Os06g13660.1	LOC_Os06g13660.1	10	10	10	"LOC_Os06g13660.1 LOC_Os06g13660.1|13106.m01508|protein alanyl-tRNA synthetase, putative, expressed"	1	10	10	10	8	7	8	10	9	10	8	7	8	10	9	10	8	7	8	10	9	10	16.5	16.5	16.5	101.42	932	932	0	32.57	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.5	9.9	13.4	16.5	15.7	16.5	1503400000	117580000	122380000	128080000	434430000	327810000	373160000	140000000	150300000	132790000	271400000	194410000	193930000	0	2	1	8	10	8	29				2520	4594;5155;6767;7019;9874;12229;12721;14798;15545;15712	True;True;True;True;True;True;True;True;True;True	4863;5451;7151;7418;10426;13077;13600;15803;16616;16791	27529;27530;27531;27532;27533;30665;30666;30667;30668;30669;40554;40555;40556;40557;42264;42265;42266;42267;42268;42269;59002;59003;59004;74400;74401;74402;74403;74404;74405;74406;74407;74408;74409;74410;74411;77216;77217;77218;77219;77220;90358;90359;90360;90361;90362;90363;95130;95131;95132;95133;95134;95135;96151;96152;96153;96154;96155;96156	20377;20378;20379;22721;22722;30059;30060;30061;31484;31485;31486;43529;43530;43531;55120;55121;55122;55123;55124;55125;55126;55127;55128;55129;57161;67434;67435;71010;71821	20377;22722;30059;31485;43529;55129;57161;67434;71010;71821		
LOC_Os06g13680.1	LOC_Os06g13680.1	1	1	1	"LOC_Os06g13680.1 LOC_Os06g13680.1|13106.m01510|protein B12D protein, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16.7	16.7	16.7	8.1012	72	72	0	8.5257	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.7	16.7	16.7	16.7	16.7	16.7	1500500000	185900000	204390000	199560000	314490000	295140000	301060000	184170000	193930000	190540000	196800000	189560000	198220000	2	2	2	1	2	1	10				2521	2435	TRUE	2583	14779;14780;14781;14782;14783;14784;14785;14786;14787;14788;14789;14790	10908;10909;10910;10911;10912;10913;10914;10915;10916;10917	10917		
LOC_Os06g13810.1;LOC_Os06g13810.3	LOC_Os06g13810.1;LOC_Os06g13810.3	3;2	3;2	3;2	"LOC_Os06g13810.1 LOC_Os06g13810.1|13106.m01523|protein pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta, putative, expressed;LOC_Os06g13810.3 LOC_Os06g13810.3|13106.m01525|protein pyrophosphate--fructose 6-phosphate 1-phosphotransferas"	2	3	3	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	7.6	7.6	7.6	61.261	567	567;438	0	7.8136	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.8	3.9	3.9	5.8	7.6	5.8	335270000	24098000	64571000	64077000	40247000	96495000	45777000	27342000	49515000	52089000	38049000	50834000	45377000	1	2	2	3	2	2	12				2522	8292;8837;13965	True;True;True	8765;9337;14909	49950;49951;49952;49953;49954;49955;53111;53112;53113;53114;85096;85097;85098	37160;37161;37162;37163;37164;37165;39418;39419;39420;39421;63326;63327	37160;39421;63326		
LOC_Os06g13820.2;LOC_Os06g13820.1;LOC_Os08g32920.1	LOC_Os06g13820.2;LOC_Os06g13820.1	20;20;2	20;20;2	9;9;0	"LOC_Os06g13820.2 LOC_Os06g13820.2|13106.m01527|protein dynamin, putative, expressed;LOC_Os06g13820.1 LOC_Os06g13820.1|13106.m01526|protein dynamin, putative, expressed"	3	20	20	9	14	17	16	15	14	12	14	17	16	15	14	12	6	9	7	6	5	5	28.1	28.1	13.3	99.24	911	911;911;767	0	131.93	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19	24.3	24.4	20.3	19.5	16.5	4212300000	704050000	829630000	812290000	678160000	687670000	500530000	656720000	692980000	661200000	480210000	471030000	456500000	11	16	13	11	12	9	72				2523	225;600;887;1336;4104;4105;6330;7552;8686;9566;10023;10369;10691;11431;12143;12764;13190;15272;15863;16176	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	241;627;934;1427;4348;4349;6693;7984;9179;10105;10581;10962;10963;11421;12221;12983;13645;14090;16313;16948;17277	1401;1402;1403;3469;3470;3471;3472;3473;3474;5313;5314;8224;8225;8226;8227;8228;8229;24671;24672;24673;24674;24675;24676;24677;24678;24679;37999;38000;38001;38002;38003;38004;45402;45403;45404;52251;52252;52253;52254;57240;57241;57242;57243;57244;57245;60027;60028;60029;60030;60031;60032;62010;62011;62012;62013;62014;62015;62016;62017;62018;64684;69287;69288;69289;69290;69291;69292;73762;73763;73764;77481;77482;77483;77484;77485;77486;79976;79977;79978;79979;79980;79981;93298;93299;93300;93301;93302;93303;93304;93305;93306;93307;93308;93309;97165;97166;97167;97168;99156	1027;1028;1029;2598;2599;2600;2601;3952;6113;6114;6115;6116;6117;6118;18342;18343;18344;18345;18346;18347;18348;28128;28129;33809;33810;33811;38830;38831;38832;42281;42282;42283;42284;42285;44414;44415;45833;45834;45835;45836;45837;45838;47875;51379;51380;51381;51382;54608;54609;57333;57334;57335;59255;59256;59257;59258;59259;59260;69659;69660;69661;69662;69663;69664;69665;69666;69667;69668;69669;72703;72704;72705;72706;74221	1029;2601;3952;6118;18346;18348;28128;33810;38830;42282;44415;45837;47875;51379;54609;57335;59257;69669;72706;74221	951	1
LOC_Os06g14040.1	LOC_Os06g14040.1	1	1	1	"LOC_Os06g14040.1 LOC_Os06g14040.1|13106.m01550|protein ThiF family domain containing protein, putative, expressed"	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	4.1	4.1	4.1	50.607	458	458	0	10.046	By MS/MS	By MS/MS		By MS/MS	By matching	By matching	4.1	4.1	0	4.1	4.1	4.1	82706000	18812000	19854000	0	17284000	9937100	16818000	0	0	0	0	0	10992000	1	1	0	1	0	0	3				2524	15864	TRUE	16949	97169;97170;97171;97172;97173	72707;72708;72709	72707		
LOC_Os06g14324.2;LOC_Os06g14324.1;LOC_Os06g14350.2;LOC_Os06g14350.1	LOC_Os06g14324.2;LOC_Os06g14324.1;LOC_Os06g14350.2;LOC_Os06g14350.1	2;2;1;1	2;2;1;1	2;2;1;1	"LOC_Os06g14324.2 LOC_Os06g14324.2|13106.m01581|protein caleosin related protein, putative, expressed;LOC_Os06g14324.1 LOC_Os06g14324.1|13106.m01580|protein caleosin related protein, putative, expressed;LOC_Os06g14350.2 LOC_Os06g14350.2|13106.m01584|protein"	4	2	2	2	2	2	2	0	1	0	2	2	2	0	1	0	2	2	2	0	1	0	11.9	11.9	11.9	21.244	193	193;225;183;225	0	4.3404	By MS/MS	By MS/MS	By MS/MS		By matching		11.9	11.9	11.9	0	5.2	0	169330000	44173000	54632000	59947000	0	10580000	0	44433000	47534000	61009000	0	0	0	1	1	2	0	0	0	4				2525	2163;5589	True;True	2301;5918	13098;13099;13100;33469;33470;33471;33472	9742;24836;24837;24838	9742;24836		
LOC_Os06g14370.2;LOC_Os06g14370.1;LOC_Os06g14370.3;LOC_Os06g14370.4	LOC_Os06g14370.2;LOC_Os06g14370.1;LOC_Os06g14370.3	5;4;3;1	5;4;3;1	5;4;3;1	"LOC_Os06g14370.2 LOC_Os06g14370.2|13106.m01585|protein caleosin related protein, putative, expressed;LOC_Os06g14370.1 LOC_Os06g14370.1|13106.m01587|protein caleosin related protein, putative, expressed;LOC_Os06g14370.3 LOC_Os06g14370.3|13106.m01588|protein"	4	5	5	5	4	4	3	3	5	5	4	4	3	3	5	5	4	4	3	3	5	5	25.6	25.6	25.6	23.636	215	215;242;172;158	0	13.236	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.9	25.1	20.5	16.3	25.6	25.6	883800000	130610000	212920000	132810000	105910000	141370000	160190000	135070000	161330000	180590000	78480000	68149000	79944000	2	3	3	2	4	4	18				2526	1520;1873;2259;4972;4973	True;True;True;True;True	1620;1995;2402;5264;5265	9364;9365;9366;9367;9368;9369;9370;9371;11414;11415;11416;11417;11418;11419;11420;13745;13746;13747;13748;13749;13750;29669;29670;29671;29672;29673;29674;29675;29676;29677	6962;6963;6964;6965;6966;8458;8459;8460;8461;10162;10163;10164;10165;21964;21965;21966;21967;21968	6965;8458;10162;21965;21967		
LOC_Os06g14470.1;LOC_Os06g14470.2	LOC_Os06g14470.1;LOC_Os06g14470.2	2;1	2;1	2;1	"LOC_Os06g14470.1 LOC_Os06g14470.1|13106.m01604|protein RNA recognition motif containing protein, putative, expressed;LOC_Os06g14470.2 LOC_Os06g14470.2|13106.m01605|protein RNA recognition motif containing protein, putative, expressed"	2	2	2	2	1	0	1	1	2	2	1	0	1	1	2	2	1	0	1	1	2	2	9.9	9.9	9.9	31.817	294	294;162	0	10.261	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.8	0	5.8	4.1	9.9	9.9	133380000	9440800	0	10437000	29051000	45945000	38508000	0	0	0	0	29334000	25179000	1	0	1	1	2	2	7				2527	6775;10253	True;True	7159;10820	40602;40603;40604;40605;61293;61294;61295	30097;30098;30099;30100;45330;45331;45332	30099;45332		
LOC_Os06g14740.1	LOC_Os06g14740.1	14	14	14	"LOC_Os06g14740.1 LOC_Os06g14740.1|13106.m01635|protein NAD binding domain of 6-phosphogluconate dehydrogenase containing protein, expressed"	1	14	14	14	12	10	13	12	11	12	12	10	13	12	11	12	12	10	13	12	11	12	14.1	14.1	14.1	147.44	1376	1376	0	86.281	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.2	10.2	12.9	11.8	10.8	11.8	3000700000	587880000	596370000	669560000	416890000	300380000	429620000	537400000	603380000	564340000	255750000	272290000	244250000	10	7	10	8	10	7	52				2528	674;4345;5823;6451;7355;8932;9277;9802;13067;13481;14184;15055;15415;15730	True;True;True;True;True;True;True;True;True;True;True;True;True;True	707;4601;6167;6819;7779;9433;9791;10352;13964;14393;15147;16079;16470;16471;16810	3918;3919;3920;3921;3922;26054;26055;26056;26057;26058;34991;38737;38738;38739;44226;44227;44228;44229;44230;53713;53714;53715;53716;53717;53718;55690;55691;55692;58626;58627;58628;58629;58630;58631;79233;79234;79235;79236;79237;79238;81721;81722;81723;81724;81725;81726;86437;86438;86439;86440;86441;86442;91935;91936;91937;91938;91939;91940;94222;94223;94224;94225;94226;94227;94228;94229;94230;94231;96252;96253;96254;96255;96256;96257	2933;2934;2935;19317;19318;19319;19320;19321;25977;28656;28657;28658;32956;32957;32958;32959;39855;41255;41256;41257;43249;43250;43251;43252;43253;43254;58693;58694;58695;58696;58697;60504;60505;60506;60507;60508;60509;64363;68610;68611;68612;68613;68614;68615;70313;70314;70315;71883;71884;71885;71886;71887;71888	2934;19321;25977;28658;32957;39855;41255;43251;58695;60505;64363;68614;70315;71886	952	1050
LOC_Os06g15360.2;LOC_Os06g15360.1;LOC_Os06g15360.3;LOC_Os06g15360.4	LOC_Os06g15360.2;LOC_Os06g15360.1;LOC_Os06g15360.3;LOC_Os06g15360.4	5;5;4;3	5;5;4;3	5;5;4;3	"LOC_Os06g15360.2 LOC_Os06g15360.2|13106.m01699|protein RAD23 DNA repair protein, putative, expressed;LOC_Os06g15360.1 LOC_Os06g15360.1|13106.m01696|protein RAD23 DNA repair protein, putative, expressed;LOC_Os06g15360.3 LOC_Os06g15360.3|13106.m01697|protein"	4	5	5	5	4	4	4	2	2	2	4	4	4	2	2	2	4	4	4	2	2	2	25.7	25.7	25.7	42.989	412	412;413;368;367	0	47.191	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.5	17.5	20.1	9.7	9.7	9.7	315400000	89374000	103010000	40313000	24890000	31437000	26382000	55290000	67398000	46117000	33302000	40713000	35603000	3	4	4	1	1	1	14				2529	787;1388;6977;8939;10096	True;True;True;True;True	830;1482;7373;9440;10659	4667;4668;4669;8521;8522;8523;8524;8525;8526;41900;41901;41902;41903;41904;53755;53756;53757;60477	3497;3498;3499;6326;6327;6328;6329;6330;31130;31131;39882;39883;39884;44754	3499;6327;31131;39884;44754		
LOC_Os06g15390.1	LOC_Os06g15390.1	3	3	3	"LOC_Os06g15390.1 LOC_Os06g15390.1|13106.m01702|protein acylphosphatase, putative, expressed"	1	3	3	3	2	2	3	1	1	1	2	2	3	1	1	1	2	2	3	1	1	1	34.1	34.1	34.1	13.557	129	129	0	5.9327	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.7	28.7	34.1	10.9	10.9	10.9	186180000	39936000	43123000	48584000	16395000	20031000	18113000	42470000	43228000	41323000	0	0	0	2	3	1	1	1	1	9				2530	59;2310;15606	True;True;True	67;2455;16678	413;414;415;416;417;418;14021;14022;14023;14024;14025;14026;95462	334;335;336;337;10357;10358;10359;10360;10361;71256	335;10357;71256		
LOC_Os06g15400.1	LOC_Os06g15400.1	4	4	4	LOC_Os06g15400.1 LOC_Os06g15400.1|13106.m01703|protein expressed protein	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	20.5	20.5	20.5	16.666	156	156	0	114.71	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.5	20.5	20.5	20.5	20.5	20.5	47840000000	2899000000	3455800000	3534500000	13998000000	11972000000	11981000000	3017200000	3311500000	3376700000	8816900000	7513000000	7480700000	5	5	5	9	12	12	48				2531	213;3568;3569;7756	True;True;True;True	229;3783;3784;8195	1339;1340;1341;1342;1343;1344;1345;1346;1347;1348;1349;1350;21554;21555;21556;21557;21558;21559;21560;21561;21562;21563;21564;21565;21566;21567;21568;21569;21570;21571;21572;21573;21574;21575;21576;46516;46517;46518;46519;46520;46521;46522;46523;46524;46525;46526;46527;46528;46529	982;983;984;985;986;987;988;989;990;991;992;993;994;995;16033;16034;16035;16036;16037;16038;16039;16040;16041;16042;16043;16044;16045;16046;16047;16048;16049;16050;16051;16052;16053;16054;34622;34623;34624;34625;34626;34627;34628;34629;34630;34631;34632;34633	986;16038;16043;34631		
LOC_Os06g15990.1;LOC_Os02g49720.6;LOC_Os02g49720.5;LOC_Os02g49720.4;LOC_Os02g49720.3;LOC_Os02g49720.2;LOC_Os02g49720.1	LOC_Os06g15990.1	10;1;1;1;1;1;1	10;1;1;1;1;1;1	10;1;1;1;1;1;1	"LOC_Os06g15990.1 LOC_Os06g15990.1|13106.m01762|protein aldehyde dehydrogenase, putative, expressed"	7	10	10	10	10	10	10	7	7	6	10	10	10	7	7	6	10	10	10	7	7	6	29.9	29.9	29.9	59.306	549	549;421;423;510;553;561;583	0	32.789	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.9	29.9	29.9	17.7	24	14.6	1873400000	378870000	356830000	327360000	325930000	262220000	222180000	334870000	312810000	304540000	189540000	209000000	196110000	6	6	6	2	3	3	26				2532	1237;4700;6338;6597;7634;9164;13614;13864;15960;16512	True;True;True;True;True;True;True;True;True;True	1321;4975;6701;6974;8069;9675;14535;14803;17049;17629	7590;7591;7592;7593;28105;28106;28107;28108;28109;38036;38037;38038;38039;38040;39625;39626;39627;39628;39629;39630;45829;45830;45831;55111;55112;55113;55114;82608;82609;82610;82611;82612;84481;84482;84483;84484;84485;84486;97837;97838;97839;97840;97841;97842;101211;101212;101213;101214;101215;101216	5605;5606;5607;20784;28154;28155;28156;29298;34137;34138;40890;61245;61246;61247;62832;62833;62834;62835;62836;62837;73212;73213;73214;73215;73216;73217;75827	5606;20784;28156;29298;34137;40890;61246;62837;73215;75827		
LOC_Os06g16260.2;LOC_Os06g16260.1	LOC_Os06g16260.2;LOC_Os06g16260.1	1;1	1;1	1;1	"LOC_Os06g16260.2 LOC_Os06g16260.2|13106.m01792|protein OsSigP5 - Putative Type I Signal Peptidase homologue; employs a putative Ser/His catalytic dyad, expressed;LOC_Os06g16260.1 LOC_Os06g16260.1|13106.m01791|protein OsSigP5 - Putative Type I Signal Peptid"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.2	7.2	7.2	17.052	153	153;180	0.0042758	1.9513	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	7.2	7.2	7.2	7.2	7.2	7.2	291210000	62640000	61839000	80887000	37035000	25023000	23787000	0	0	0	0	0	15546000	1	1	1	0	1	1	5				2533	11544	TRUE	12342	69929;69930;69931;69932;69933;69934	51815;51816;51817;51818;51819	51815		
LOC_Os06g16420.2;LOC_Os06g16420.1;LOC_Os06g16420.3	LOC_Os06g16420.2;LOC_Os06g16420.1	3;3;1	3;3;1	3;3;1	"LOC_Os06g16420.2 LOC_Os06g16420.2|13106.m01813|protein amino acid transporter, putative, expressed;LOC_Os06g16420.1 LOC_Os06g16420.1|13106.m01812|protein amino acid transporter, putative, expressed"	3	3	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	8.2	8.2	8.2	43.002	402	402;448;274	0	12.918	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.2	4.7	8	8	8.2	8.2	202870000	0	11416000	9426100	12952000	68104000	100980000	0	0	0	0	42281000	67213000	1	0	1	2	2	3	9				2534	9430;9431;9509	True;True;True	9964;9965;10044	56526;56527;56528;56529;56530;56531;56532;56927;56928;56929;56930;56931	41797;41798;41799;41800;42047;42048;42049;42050;42051	41797;41799;42048		
LOC_Os06g16640.1	LOC_Os06g16640.1	2	2	2	"LOC_Os06g16640.1 LOC_Os06g16640.1|13106.m01836|protein carboxyl-terminal peptidase, putative, expressed"	1	2	2	2	2	2	2	1	1	0	2	2	2	1	1	0	2	2	2	1	1	0	5.4	5.4	5.4	45.088	409	409	0	4.5565	By MS/MS	By MS/MS	By MS/MS	By matching	By matching		5.4	5.4	5.4	5.4	5.4	0	97210000	23470000	25092000	27522000	9930800	11195000	0	23789000	25602000	24041000	0	0	0	2	2	1	0	0	0	5				2535	2545;2546	True;True	2702;2703	15486;15487;15488;15489;15490;15491;15492;15493	11439;11440;11441;11442;11443	11439;11443		
LOC_Os06g17840.1	LOC_Os06g17840.1	10	10	10	LOC_Os06g17840.1 LOC_Os06g17840.1|13106.m01957|protein expressed protein	1	10	10	10	7	7	5	9	7	8	7	7	5	9	7	8	7	7	5	9	7	8	8.5	8.5	8.5	174.77	1561	1561	0	34.542	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.8	5.8	4.2	7.6	6.3	7	1055400000	120170000	131040000	56265000	311960000	242400000	193620000	93756000	100220000	87602000	158450000	196540000	139610000	3	2	3	8	5	5	26				2536	996;3473;3548;5206;7399;7438;8436;12642;15569;16046	True;True;True;True;True;True;True;True;True;True	1050;3687;3763;5506;7826;7866;8918;13518;16641;17137	6039;6040;6041;6042;20968;20969;20970;20971;20972;20973;21436;21437;21438;30980;30981;30982;30983;30984;44449;44450;44451;44452;44453;44708;44709;44710;44711;44712;50769;50770;50771;76820;76821;76822;95282;95283;95284;98382;98383;98384;98385;98386;98387;98388;98389;98390;98391;98392;98393	4497;15608;15943;22933;22934;33097;33098;33099;33100;33268;33269;33270;33271;33272;37734;37735;37736;56875;56876;71135;73609;73610;73611;73612;73613;73614;73615;73616;73617	4497;15608;15943;22934;33097;33271;37736;56876;71135;73612		
LOC_Os06g18000.1	LOC_Os06g18000.1	1	1	1	"LOC_Os06g18000.1 LOC_Os06g18000.1|13106.m01973|protein protein kinase domain containing protein, expressed"	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	3.1	3.1	3.1	55.322	509	509	0.0016992	2.3586	By MS/MS		By MS/MS				3.1	0	3.1	0	0	0	30095000	12608000	0	17487000	0	0	0	0	0	16624000	0	0	0	1	0	1	0	0	0	2				2537	2506	TRUE	2660	15249;15250	11265;11266	11265		
LOC_Os06g18010.1	LOC_Os06g18010.1	1	1	1	"LOC_Os06g18010.1 LOC_Os06g18010.1|13106.m01974|protein UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	4.7	4.7	4.7	49.457	471	471	0	7.1158				By MS/MS	By MS/MS	By MS/MS	0	0	0	4.7	4.7	4.7	143850000	0	0	0	45318000	41957000	56572000	0	0	0	0	0	36973000	0	0	0	1	1	1	3				2538	13398	TRUE	14307	81191;81192;81193	60111;60112;60113	60112		
LOC_Os06g18670.1;LOC_Os06g18790.1	LOC_Os06g18670.1	11;1	11;1	11;1	"LOC_Os06g18670.1 LOC_Os06g18670.1|13106.m01992|protein anthocyanidin 3-O-glucosyltransferase, putative, expressed"	2	11	11	11	10	10	10	11	11	11	10	10	10	11	11	11	10	10	10	11	11	11	40.1	40.1	40.1	51.482	481	481;323	0	245.46	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.3	35.3	35.3	40.1	40.1	40.1	13466000000	1269200000	1226200000	1313400000	3350800000	3133800000	3173000000	1143700000	1051000000	1039400000	2134100000	1936000000	2418900000	10	12	10	17	16	16	81				2539	1713;2001;3411;5037;5313;12079;12871;13522;13717;14368;15763	True;True;True;True;True;True;True;True;True;True;True	1827;2132;3621;5330;5331;5621;12911;13757;14436;14648;15343;16843	10491;10492;10493;10494;10495;10496;10497;10498;10499;10500;10501;10502;12218;12219;12220;12221;12222;12223;20602;20603;20604;20605;20606;20607;30060;30061;30062;30063;30064;30065;30066;30067;30068;30069;30070;30071;30072;30073;31603;31604;31605;31606;31607;31608;73394;73395;73396;78115;78116;78117;78118;78119;78120;78121;78122;78123;82071;82072;82073;82074;82075;82076;83298;83299;83300;83301;83302;83303;83304;83305;83306;83307;83308;83309;87599;87600;87601;87602;87603;87604;87605;87606;96421;96422;96423;96424;96425;96426;96427;96428;96429	7766;7767;7768;7769;7770;7771;7772;7773;9105;9106;15328;15329;15330;15331;22285;22286;22287;22288;22289;22290;22291;22292;22293;22294;22295;23419;23420;23421;23422;23423;23424;23425;23426;23427;23428;23429;23430;23431;23432;54291;54292;54293;57798;57799;57800;57801;57802;57803;57804;57805;57806;60817;60818;60819;61809;61810;61811;61812;61813;61814;61815;61816;61817;61818;61819;61820;61821;61822;65209;65210;65211;65212;65213;65214;65215;65216;72005;72006;72007;72008;72009;72010	7771;9105;15328;22288;23420;54293;57805;60817;61820;65215;72010	953	276
LOC_Os06g19390.1	LOC_Os06g19390.1	3	3	3	LOC_Os06g19390.1 LOC_Os06g19390.1|13106.m02066|protein expressed protein	1	3	3	3	2	2	2	2	3	3	2	2	2	2	3	3	2	2	2	2	3	3	6.9	6.9	6.9	70.323	648	648	0	17.102	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.2	5.2	5.2	4.2	6.9	6.9	281450000	39585000	42879000	45706000	34413000	62169000	56698000	39422000	40550000	42926000	33833000	33160000	32294000	2	2	2	2	2	3	13				2540	1169;1474;5403	True;True;True	1232;1572;5716	7060;7061;7062;9122;9123;9124;9125;9126;32167;32168;32169;32170;32171;32172	5212;5213;6789;6790;6791;6792;6793;23828;23829;23830;23831;23832;23833	5213;6790;23831		
LOC_Os06g19480.1	LOC_Os06g19480.1	1	1	1	LOC_Os06g19480.1 LOC_Os06g19480.1|13106.m02079|protein expressed protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	22.174	201	201	0.0037797	1.9995	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	5.5	5.5	5.5	5.5	5.5	5.5	82526000	15213000	13203000	14255000	10933000	11835000	17088000	0	0	0	0	0	11168000	1	1	1	0	1	0	4				2541	16617	TRUE	17737	101803;101804;101805;101806;101807;101808	76302;76303;76304;76305	76302		
LOC_Os06g19640.1	LOC_Os06g19640.1	2	2	2	"LOC_Os06g19640.1 LOC_Os06g19640.1|13106.m02097|protein 39S ribosomal protein L46, mitochondrial precursor, putative, expressed"	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	10.1	10.1	10.1	28.295	248	248	0	7.2837	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.1	10.1	10.1	10.1	10.1	4.4	1402400000	295080000	248650000	220430000	245800000	211370000	181080000	296430000	277870000	246850000	96768000	112680000	0	2	1	2	1	1	1	8				2542	2148;5604	True;True	2286;5935	13014;13015;13016;13017;13018;13019;33640;33641;33642;33643;33644	9687;9688;9689;9690;9691;24977;24978;24979	9690;24979		
